Marca temporal,1. ¿Cuál es tu edad?,2. ¿Cuál o cuáles son tus lenguas maternas?,3. ¿Qué lenguas comprendes y a qué nivel? [Inglés],3. ¿Qué lenguas comprendes y a qué nivel? [Francés],3. ¿Qué lenguas comprendes y a qué nivel? [Portugués],3. ¿Qué lenguas comprendes y a qué nivel? [Italiano],3. ¿Qué lenguas comprendes y a qué nivel? [Rumano],3. ¿Qué lenguas comprendes y a qué nivel? [Catalán],3. ¿Qué lenguas comprendes y a qué nivel? [Gallego],4. ¿Sabes algo de euskera o la gente de tu entorno habla euskera? ,"5. Si la respuesta anterior es afirmativa, ¿cómo has conseguido esos conocimientos? Por ejemplo: porque mi familia es euskaldun, porque voy a veranear a Lekeitio...",6. ¿Tienes conocimientos sobre la intercomprensión?,7. ¿Crees que es posible comprender una conversación en euskera sin haber aprendido/estudiado esta lengua previamente?,8. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,9. Resume brevemente qué ocurre.,10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios...]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: las preguntas, las afirmaciones...]",10. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],11. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,12. Resume brevemente qué ocurre.,13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios..]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: las preguntas, las afirmaciones, los suspiros...]",13. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],14. ¿Dónde tiene lugar el diálogo que has visto en el vídeo?,15. Resume brevemente qué ocurre.,16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Parecido lingüístico con lenguas que conozco (por ejemplo: estructuras de las preguntas).],"16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Proximidad léxica: palabras parecidas, nombres propios..]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Gestos: con las manos, expresividad con la cara...]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Situación de comunicación: el lugar, los personajes.]","16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Entonación: el tono, las afirmaciones...]",16. Valora del 0 al 5 (siendo 0 el valor mínimo y 5 el valor máximo) en qué medida los siguientes elementos te han ayudado a comprender el vídeo: [Conocimientos extralingüísticos: conocimientos científicos y culturales generales],"17. ¿Después de haber visto los vídeos, crees que es posible comprender una conversación en euskera sin haber aprendido/estudiado esta lengua previamente?",Puntuación
30/05/2022 22:21:03,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,"La entiendo bien (oral y escrito), pero no la hablo",La entiendo y la hablo bien,No,,No,No estoy de acuerdo.,En un despacho/ secretaria de un centro,Los chavales se quieren matricular y le dan sus datos,1,2,4,5,4,4,En una cocina,Quiere hacer una tortilla y el chico le dice cómo hacerla,0,3,4,5,5,5,En casa del señor,Explica como funciona su casa con energía geotérmica ,0,3,4,5,5,5,No estoy de acuerdo.,
30/05/2022 22:21:18,Menos de 20 años.,Español.,La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,"No la entiendo, ni la leo","La entiendo bien (oral y escrito), pero no la hablo",La leo y la entiendo fácilmente (escrito),No,,No,No estoy de acuerdo.,NOEn una secretaria de un colegio,NOEstán haciendo la matricula de su hijo,0,0,0,5,,0,En una cocina,Están teniendo una conversación sobre sus vidas,0,0,2,5,4,0,En un jardín,Está explicando el funcionamiento de un aparato.,0,0,2,5,4,1,No estoy de acuerdo en absoluto.,
30/05/2022 22:22:10,Menos de 20 años.,"Español., Inglés.",La entiendo y la hablo bien,Entiendo lo escrito de manera global,"No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo",No,,No,No estoy de acuerdo.,En una clase,"Un chico va a matricularse en algo, en segundo, dice su nombre y apellidos, la localidad en la que vive...",1,5,2,5,5,0,En la cocina de una casa,Apuntan ingredientes para hacer una tortilla de patata,0,4,1,5,1,0,"En una casa, y en el jardín","El señor está hablando sobre la casa, que utiliza energía sostenible, con placas solares y esas cosas",0,4,0,5,0,0,No estoy de acuerdo.,
30/05/2022 22:22:38,Más de 50 años.,Español.,Entiendo lo escrito de manera global,"La entiendo bien (oral y escrito), pero no la hablo",,"La entiendo bien (oral y escrito), pero no la hablo",,Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,No,No estoy de acuerdo en absoluto.,En una oficina ,Una pareja llega y la oficinista le pregunta sus datos y el los contesta para rellenar un formulario ,0,0,2,2,2,0,Cocina de una casa ,Una pareja habla de hacer una tortilla de patatas y la receta y los ingredientes ,0,1,0,2,2,0,En una casa de campo ,Un hombre habla de un sistema de geotermia,0,0,0,1,0,0,No estoy de acuerdo en absoluto.,
30/05/2022 22:24:23,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,No,,No,No estoy de acuerdo en absoluto.,Universidad,Está haciendo la matrícula para entrar a la universidad,1,2,4,1,3,2,Cocina de una casa,Están haciendo el menú de la semana ,2,3,3,3,3,2,En los alrededores de la casa de una persona,Esa persona explica el proceso de geotermia para calentar su casa ,1,1,0,1,1,1,No estoy de acuerdo.,
30/05/2022 22:28:13,Entre 20 y 25 años.,Español.,La leo y la entiendo fácilmente (escrito),Entiendo lo escrito de manera global,Entiendo lo escrito de manera global,"No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo",Entiendo lo escrito de manera global,No,,Sí,No estoy de acuerdo en absoluto.,NO,NO,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,No estoy de acuerdo en absoluto.,
30/05/2022 22:32:09,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo","No la entiendo, ni la leo",Sí,"Parte de mi familia materna vive en San Sebastián, y mi madre es vasca de nacimiento, aunque se crió en extremadura",No,No estoy de acuerdo.,En un colegio/instituto,Están dando los datos para una matricula,0,3,1,5,4,1,En una cozina,"Van a preparar una tortilla de patatas,  hacen la lista de la compra y se preparan para ir a comprar",0,3,3,3,3,1,En un espacio abierto,"A este buen señor ya no le pillo ná, habla de calefacción en algun momento",0,5,0,4,0,0,No estoy de acuerdo en absoluto.,
30/05/2022 22:40:43,Entre 20 y 25 años.,Español.,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",Entiendo lo escrito de manera global,"No la entiendo, ni la leo",No,,No,No estoy de acuerdo en absoluto.,Una Secretaría,Llegan saludan y les pide que se sienten y den los datos,2,3,4,2,3,2,En una cocina,,1,2,4,2,2,0,En Navarra,Habla de cosas de la vivienda,0,1,0,0,0,0,No estoy de acuerdo en absoluto.,
30/05/2022 22:47:11,Entre 20 y 25 años.,Español.,"La entiendo bien (oral y escrito), pero no la hablo",La entiendo y la hablo bien,"La entiendo bien (oral y escrito), pero no la hablo",La leo y la entiendo fácilmente (escrito),"No la entiendo, ni la leo",La leo y la entiendo fácilmente (escrito),La leo y la entiendo fácilmente (escrito),No,,Sí,Estoy bastante de acuerdo.,NOen un centro escolar ,NOuna familia (madre e hijo) va a matricular a su hijo al centro escolar,3,4,5,5,,5,en una cocina,conversación sobre la receta de la tortilla de patata,2,3,4,4,5,5,casa particular,tratan el tema de la instalación de un termostato para la calefacción y el agua caliente en una casa,1,1,1,2,2,3,Estoy bastante de acuerdo.,
30/05/2022 22:54:13,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,La entiendo y la hablo bien,La entiendo y la hablo bien,La entiendo y la hablo bien,"No la entiendo, ni la leo",La entiendo y la hablo bien,"La leo y la entiendo fácilmente (escrito), Entiendo lo escrito de manera global",Sí,Tengo amigos de Euskadi y a través de películas y series ,Sí,No estoy de acuerdo.,En la ikastola,Un hombre y una mujer entran a una ikastola para matricularse,0,5,5,5,3,4,En la cocina de una casa,"La madre habla a su hijo de una sorpresa que tiene que ver con patatas, creo que le quiere hacer una tortilla",1,5,4,5,4,3,En una urbanización ,Un hombre habla de su urbanización o de la zona en que vive,0,5,3,5,2,3,No estoy de acuerdo en absoluto.,
30/05/2022 23:11:07,Entre 26 y 40 años.,Español.,La entiendo y la hablo bien,La entiendo y la hablo bien,,,,"La entiendo bien (oral y escrito), pero no la hablo","La entiendo bien (oral y escrito), pero no la hablo",Sí,Por amigos  del pueblo y además cursé la asignatura de euskera un cuatrimestre en la universidad,Sí,No estoy de acuerdo en absoluto.,Instituto,Una persona va a inscribirse en un centro y para ello le piden sus datos.,0,0,2,2,1,2,En un domicilio.,Hacen la lista de la compra para preparar una tortilla de patata.,0,2,0,2,0,0,En un domicilio particular.,"El dueño de la casa nos habla sobre su casa, la cuál está preparada para autoabastecerse en cuanto a energía se refiere.",0,1,0,2,0,2,No estoy de acuerdo.,
30/05/2022 23:25:39,Entre 20 y 25 años.,Español.,La entiendo y la hablo bien,La entiendo y la hablo bien,La entiendo y la hablo bien,La entiendo y la hablo bien,Entiendo lo escrito de manera global,"La entiendo bien (oral y escrito), pero no la hablo",Entiendo lo escrito de manera global,No,,Sí,No estoy de acuerdo.,En una secretaría ,Le toman los datos personales a un hombre,1,1,4,5,3,4,En una casa,Dos personas dialogan (no sé sobre qué),0,0,3,3,2,2,"Gorraitz, Nafarroa, en el campo",Entrevistan a un hombre que habla sobre el gas o la calefacción ,0,1,1,5,2,5,Estoy bastante de acuerdo.,
